weather_risk,crime_risk,health_risk,political_risk,transport_disruption,destination_popularity,trip_duration,season_risk,risk_score,risk_level
58,8,98,8,15,12,23,51,44.0597559941401,1
15,7,77,57,80,38,26,43,45.32843639319446,1
46,3,34,74,47,26,15,58,44.851343536033994,1
11,13,96,21,3,98,28,80,34.35735425664277,0
54,53,32,55,17,95,10,15,42.83385934001436,1
2,83,14,71,2,69,27,80,63.516789469732515,1
71,74,94,4,82,44,8,22,56.61577238267546,1
5,58,96,65,46,5,2,3,52.09265764315104,1
19,8,31,26,6,24,22,45,27.236643850005095,0
17,78,60,40,22,9,23,30,52.27434621837907,1
83,3,17,65,62,79,28,18,46.30876927561086,1
5,63,64,0,59,8,28,42,42.68549532189067,1
43,41,69,1,82,68,4,87,49.14083969569472,1
59,89,71,45,2,96,19,59,57.607549500483664,1
52,31,57,95,7,31,22,73,52.85119949756765,1
68,64,71,0,3,69,19,15,48.2550395734898,1
81,44,56,79,39,88,1,7,51.204057736214054,1
39,52,82,7,73,43,2,33,43.791406255940565,1
83,94,18,49,66,45,21,78,80.2303396884778,2
32,71,48,43,21,20,26,89,47.70351078680202,1
99,41,42,47,66,43,6,10,59.976924822374535,1
50,45,53,8,66,88,2,48,34.89887230518269,0
74,71,14,76,19,66,13,40,56.469195236493114,1
88,34,32,27,75,20,10,75,50.79161747527574,1
80,16,96,77,42,53,30,20,56.82199375728546,1
85,47,10,66,5,71,28,48,60.35331915581061,1
54,6,64,55,39,7,17,85,62.04729940437171,1
4,17,67,31,77,77,29,46,42.652646096093534,1
49,42,47,65,70,20,7,78,60.24284821316577,1
18,80,3,100,27,29,30,62,63.051947509975,1
89,78,3,93,76,42,14,60,83.58304102411714,2
23,26,27,92,39,50,15,26,31.381097315278794,0
23,42,10,22,46,92,2,100,36.742740647621325,1
25,15,9,59,8,22,6,25,21.467242115136397,0
64,76,16,40,100,25,6,94,51.02421587117293,1
57,24,19,97,84,38,15,99,61.996819415424554,1
95,80,84,95,19,86,6,51,83.36829274546331,2
42,85,64,87,56,97,4,87,65.03370485759761,2
28,69,3,16,78,45,19,72,53.87459303938767,1
4,33,63,32,50,70,27,74,53.26203318238021,1
0,96,13,71,21,92,3,6,40.16381918428286,1
37,69,42,75,97,85,17,13,62.61273371046775,1
93,65,3,35,27,68,29,7,39.85221256075334,1
52,86,9,13,33,54,13,3,36.19301682096412,1
90,89,13,13,37,99,6,84,58.552045745979974,1
10,7,43,69,89,24,3,17,38.774074582222404,1
9,89,46,45,50,36,29,0,56.6540486486621,1
84,77,35,49,72,72,13,94,70.22894547809831,2
10,20,62,82,91,2,4,28,62.68202366577859,1
5,31,72,1,93,50,26,82,46.00688101286839,1
40,76,73,76,86,86,25,97,88.57246025791785,2
93,21,58,27,91,17,22,52,60.631019333240395,1
69,45,55,94,95,81,3,93,80.7951938474848,2
10,69,49,96,100,41,3,97,61.9501314644511,1
84,65,24,50,64,86,7,14,53.65791324578517,1
85,91,49,31,13,64,5,14,48.81787929645918,1
80,11,1,23,11,15,16,37,31.736834015100236,0
91,29,97,18,80,74,12,56,65.43425757599677,2
24,99,37,100,31,5,23,79,76.24285763214768,2
98,57,76,18,81,24,4,18,65.49229614016163,2
32,25,96,45,94,89,22,19,49.86867344035633,1
81,29,50,48,65,88,29,30,51.2629932548577,1
58,34,87,68,77,4,4,27,59.07663043882359,1
78,55,48,85,28,38,20,94,69.18808692965348,2
63,28,13,56,43,9,16,39,44.684843787054845,1
64,62,2,76,97,27,3,87,58.93820964597589,1
62,44,13,57,82,97,9,5,53.011909539111315,1
78,61,95,44,20,19,24,10,58.78297679619907,1
74,15,47,15,94,64,27,81,63.47646873327609,1
13,62,32,21,50,81,12,25,36.92646019122434,1
83,93,45,43,85,88,4,8,65.90057358488427,2
54,13,25,4,52,35,8,60,35.2062578577821,1
32,33,87,31,60,70,26,14,43.314351557894895,1
51,70,100,46,16,48,18,6,57.80321752931493,1
97,62,8,47,34,10,13,41,66.24999766680264,2
86,68,72,82,72,22,1,55,74.38967351860214,2
84,56,33,97,85,75,24,53,80.28766043735804,2
46,68,4,73,8,69,14,59,52.82963106755312,1
79,61,93,8,7,52,17,2,48.88229795018993,1
38,7,6,41,70,78,26,29,37.58887230634848,1
69,75,20,73,45,69,17,34,63.403893354727806,1
64,45,2,60,85,34,28,29,62.27969527885367,1
25,5,47,46,6,29,17,56,24.717015657693562,0
26,41,60,44,35,95,11,23,40.51381733457874,1
6,43,32,41,3,98,28,63,36.115532715516096,1
14,8,7,58,71,3,20,94,42.260838938089755,1
43,100,11,18,86,79,23,66,68.84578627417143,2
48,22,94,52,15,13,7,39,40.59112251161688,1
16,33,81,20,32,86,21,43,30.891385638139987,0
42,44,94,68,85,59,17,59,71.64429735231514,2
61,84,53,87,4,69,4,73,53.48763686067667,1
23,75,55,51,96,70,8,30,45.712341532248615,1
34,77,79,39,89,61,28,3,69.2696061399398,2
37,23,62,95,15,25,18,70,55.322333503374935,1
51,85,44,66,14,81,24,66,65.27631776421265,2
37,83,29,43,69,55,6,10,47.195434551322265,1
74,46,49,2,1,55,7,63,29.163563210345885,0
33,55,6,1,51,32,29,7,29.69527671829399,0
43,3,19,22,6,1,13,64,25.4768666034123,0
38,76,74,23,53,55,27,75,55.09558285249175,1
18,97,87,72,35,34,25,1,67.33231744227392,2
69,47,10,50,71,66,11,73,50.83525237179349,1
23,54,9,100,88,36,29,12,62.240216284191845,1
29,50,8,54,49,98,24,26,44.18088876935858,1
80,8,79,91,64,68,4,71,62.39079732654717,1
95,62,31,55,60,46,3,35,60.476895163733985,1
67,72,33,36,99,71,4,98,61.94659645532453,1
92,93,1,72,23,65,23,96,72.14381559980299,2
86,93,98,45,24,62,5,99,73.97604877052103,2
48,49,43,27,38,58,9,10,23.91665814543981,0
77,96,80,47,74,94,14,17,73.94915447515694,2
33,53,71,67,87,32,5,18,57.7396531773215,1
46,64,14,37,28,43,10,59,47.93429319146143,1
54,60,80,71,11,25,21,43,53.448938427316435,1
97,100,55,99,61,57,30,75,90.74536094902564,2
85,74,61,41,60,99,15,28,54.92082326060652,1
49,12,20,29,37,61,23,20,37.14760825727725,1
65,7,85,40,18,20,16,65,38.199300747589035,1
20,41,94,84,85,93,14,62,58.17807130846607,1
81,52,41,18,85,79,16,69,60.765884769631896,1
55,67,9,98,75,44,29,31,65.01375280633653,2
53,48,85,41,58,14,2,53,49.19965605926564,1
77,51,89,85,26,40,16,93,77.5903165772411,2
63,93,51,79,40,81,2,61,71.19627053955121,2
7,33,58,79,6,58,27,94,55.66242715524599,1
29,49,22,91,25,18,19,43,57.18225804364176,1
17,56,6,18,45,16,2,4,26.46052432637166,0
74,47,95,59,44,97,19,76,64.7224421521803,1
3,97,48,9,8,45,14,46,37.751512328798384,1
20,97,27,30,96,69,2,4,50.04637500629586,1
60,51,70,4,27,36,30,14,43.92261003604491,1
70,45,2,68,51,9,12,31,48.18160276443814,1
50,59,8,61,46,41,1,19,46.7794026038974,1
86,18,24,74,47,70,19,69,61.837235473086274,1
92,43,45,17,85,33,12,61,59.46956152562057,1
13,21,37,33,75,60,20,33,49.14589519145541,1
96,14,18,68,87,44,5,8,44.526906567803515,1
62,9,35,83,38,34,25,7,36.412152164744455,1
64,59,33,89,26,25,13,95,69.00776733753733,2
9,0,52,7,43,26,13,34,19.188998684119618,0
62,65,56,40,56,25,25,10,56.96784654934782,1
73,43,89,1,34,72,17,71,40.021220939273256,1
58,37,81,82,46,34,1,87,55.96473851592505,1
8,77,29,12,15,74,18,12,24.11663550052458,0
52,54,91,83,58,31,20,95,72.92418041947819,2
94,74,52,15,72,33,10,73,61.7226910367023,1
73,71,18,1,53,93,6,25,41.059762469289254,1
13,3,34,88,88,88,2,78,51.55833778613105,1
96,21,74,44,100,40,26,42,70.7414375893869,2
96,57,82,42,91,27,1,64,59.14698218273711,1
17,98,37,65,9,72,18,12,54.15809261367714,1
80,15,15,27,88,7,26,24,49.230528184648755,1
41,10,19,69,33,46,11,78,40.37304140778341,1
59,95,10,43,45,60,7,81,57.81380282037666,1
44,97,70,27,41,68,22,1,57.98731456851752,1
79,16,50,39,28,10,19,21,39.88867925391861,1
100,40,45,0,88,0,1,61,51.06589485485216,1
80,63,67,30,64,27,18,91,75.23363474335102,2
94,19,83,59,97,12,1,68,60.69656529344679,1
95,32,80,13,96,51,12,71,54.87067214294944,1
9,39,13,11,42,92,10,39,24.859755912756896,0
25,64,59,66,73,28,26,5,53.51660125946191,1
72,31,89,43,50,45,30,77,54.35330127127396,1
59,41,78,13,49,21,21,80,53.3931969375511,1
5,29,33,75,74,4,23,44,59.901731307383535,1
9,76,39,78,69,71,1,51,53.978375424738644,1
52,15,89,3,92,25,2,23,42.08146256668928,1
62,23,3,20,78,55,24,45,29.92910985109324,0
16,25,53,37,62,68,13,24,39.77875295464568,1
17,91,11,73,92,84,16,42,61.92019516785875,1
13,95,90,7,10,18,21,13,44.45051103176388,1
57,50,3,81,77,58,11,61,58.61030282841425,1
0,15,2,32,39,91,21,25,23.610729702947765,0
57,76,33,12,43,48,22,73,48.28307242985239,1
48,49,20,87,78,4,8,52,61.69112236067946,1
47,85,50,8,27,26,21,90,63.962812535162925,1
68,36,30,13,89,80,6,22,39.6223511471589,1
52,100,35,95,50,79,10,27,61.824434785377356,1
73,81,57,52,35,31,24,24,63.484519581189616,1
77,22,56,46,33,19,30,63,61.387679170386576,1
92,73,94,69,42,29,2,10,58.78208696421637,1
80,28,48,63,95,24,20,69,70.19134955270509,2
52,35,56,61,10,74,18,82,46.55191324887711,1
49,25,68,2,51,85,19,68,43.59237848827843,1
23,68,17,55,84,4,24,13,52.26401234972662,1
60,26,67,28,47,74,3,49,37.94789826951063,1
14,64,87,81,57,75,23,53,74.54856949741028,2
94,58,32,51,35,61,9,39,45.43548045679905,1
85,75,18,12,13,88,5,47,44.78219706527327,1
12,100,34,89,64,3,14,77,81.71794646552773,2
79,0,27,28,92,70,1,84,46.72313155883694,1
11,100,59,27,52,12,19,30,48.70341788576491,1
72,11,87,94,43,90,17,33,49.880516946507576,1
8,53,60,78,13,50,16,21,41.350247740121596,1
49,34,12,86,95,9,1,40,54.46744746911924,1
66,64,31,66,87,75,23,55,68.96565616453431,2
73,72,69,91,91,75,2,72,68.45982067420186,2
42,86,33,11,36,46,8,27,38.27345524931819,1
93,40,59,60,63,31,12,21,54.591105078119874,1
78,94,70,29,43,1,22,3,63.99551915131064,1
21,32,33,40,23,91,13,9,40.918172743746446,1
67,20,65,24,20,18,25,5,35.400877606259314,1
73,38,40,20,38,85,29,20,39.188253001185274,1
33,53,13,44,55,59,23,70,43.46115822913694,1
74,67,37,92,12,69,2,78,63.63326742745339,1
90,84,44,64,70,70,24,98,80.15195042186939,2
82,22,0,35,46,86,7,55,31.98264071098025,0
77,30,90,43,88,3,27,45,66.02322649733001,2
64,94,53,53,28,100,30,90,66.6709381942538,2
27,44,3,24,5,4,3,14,25.055347687135473,0
80,24,87,52,31,100,3,63,65.87625964077802,2
36,99,86,70,98,26,21,82,88.8951864341534,2
53,45,1,24,32,85,5,50,32.31206890935582,0
31,99,16,59,71,8,30,26,62.460147075072285,1
31,92,36,71,85,46,17,62,61.8995995086909,1
15,91,51,52,28,54,18,100,65.52213838841821,2
97,58,73,29,64,96,26,23,66.92612507019793,2
14,80,42,55,20,12,7,56,46.65339401985517,1
8,97,61,80,36,3,17,5,68.16000389765571,2
94,27,1,22,29,65,30,23,40.96664163331051,1
56,3,66,58,67,4,1,77,53.878564412370814,1
44,32,92,68,88,78,6,50,60.65718201219808,1
74,64,53,32,25,3,5,20,47.537184720734174,1
38,55,45,39,29,98,11,33,35.560692332155085,1
12,8,30,89,82,53,4,12,37.86678044582398,1
73,56,96,36,46,95,6,78,64.59230401336909,1
17,17,3,60,51,12,26,95,42.89118932860344,1
55,51,28,15,71,27,14,10,46.16844837361907,1
95,58,14,93,13,45,11,24,49.82358470785599,1
94,64,87,60,88,2,13,86,86.39035001678215,2
36,41,48,76,36,10,30,88,64.57764801893977,1
78,41,93,60,66,33,15,77,62.42733544698101,1
61,68,67,35,43,74,15,72,57.775912858870335,1
48,75,56,34,76,71,28,86,73.72864545591023,2
14,81,52,70,61,8,2,37,49.00580475608066,1
38,33,20,86,17,6,15,90,45.034298568250385,1
65,42,56,12,18,66,23,89,48.20301827128104,1
99,33,69,85,88,36,16,23,83.10998438259317,2
0,53,97,83,52,80,27,7,53.68453149576301,1
72,12,55,11,27,30,27,52,45.29164399751296,1
85,43,94,10,14,36,11,76,53.51081244560812,1
96,19,95,70,12,22,25,85,62.70288059840673,1
42,53,52,85,92,26,8,14,61.786800110709244,1
11,85,44,39,98,71,8,38,52.27299202743028,1
27,99,14,64,39,47,30,77,63.63317125930093,1
85,45,27,100,20,66,1,6,39.5823685833612,1
88,5,88,32,42,7,11,73,51.75338259080207,1
64,23,13,22,13,54,19,29,37.0045610397353,1
12,10,40,100,55,46,13,2,41.44455464867811,1
12,76,70,28,63,91,26,24,59.65304656493457,1
48,99,24,47,99,42,8,74,71.79196467567009,2
59,55,98,44,32,10,17,87,64.72275216201868,1
3,17,65,52,19,70,4,8,22.62244668195909,0
69,2,2,27,13,15,7,46,23.142417707831573,0
54,98,24,68,38,91,6,20,46.656937156377275,1
1,31,74,69,60,38,23,69,53.27752665941004,1
9,11,87,20,6,79,7,78,29.905992551384923,0
45,17,93,48,76,66,21,97,70.97252658679541,2
72,25,85,5,46,46,11,35,46.34992193967326,1
83,66,7,22,80,58,17,30,48.24087611917213,1
43,90,73,99,46,18,27,31,68.90379034688718,2
29,27,11,51,15,7,26,76,41.050687476772566,1
97,69,7,62,2,77,1,44,52.740586680966494,1
46,6,69,89,56,96,24,2,48.11630197983368,1
31,1,48,72,54,87,29,95,54.79190505003358,1
44,5,65,80,82,30,21,10,51.803247304486874,1
1,93,85,71,88,36,6,93,76.9720026082936,2
30,58,6,50,16,36,20,16,29.696451863766036,0
52,81,53,63,31,70,20,54,72.1950927208766,2
92,2,84,29,20,62,20,31,37.01509931065774,1
74,2,44,89,10,80,13,69,51.48239397837866,1
78,85,52,18,0,95,16,40,48.32689603198627,1
55,10,50,89,8,39,20,37,46.015032597798594,1
11,15,91,88,52,66,14,48,49.59338856417911,1
39,52,5,14,15,50,24,98,43.18362751030896,1
100,61,88,71,19,96,22,24,69.25514725968537,2
4,23,82,99,11,35,10,22,49.960169070938406,1
88,44,82,57,73,18,19,6,73.50769329558428,2
69,68,41,34,64,38,23,74,66.16092928066021,2
28,44,52,88,97,62,15,68,75.00204543500982,2
78,38,37,51,11,96,22,61,49.75783525693487,1
84,7,25,12,21,83,4,2,28.934642173517545,0
4,45,88,25,46,1,12,79,51.08231803743688,1
10,81,51,68,65,51,22,81,62.8047722114478,1
67,63,73,45,13,16,27,95,67.35740492627907,2
100,90,10,21,21,36,20,93,65.15903126505475,2
2,12,79,80,42,95,20,26,42.42681121158435,1
67,1,66,12,1,99,11,71,32.92713910798533,0
13,55,100,22,39,15,22,40,56.22217775596137,1
65,18,13,47,76,14,11,60,47.08976114802464,1
62,59,54,3,53,70,2,33,24.05667398790512,0
9,91,51,39,43,41,8,66,63.15962090896022,1
68,34,54,91,49,43,19,96,65.85445141867802,2
90,55,5,95,95,88,29,65,70.39031867500623,2
87,68,47,88,52,92,15,93,67.2753382260831,2
2,15,30,32,53,90,26,94,36.29132458599813,1
24,90,62,6,94,79,24,12,52.603513012098105,1
24,20,23,82,15,99,17,97,38.74794321669185,1
45,81,43,37,9,72,25,82,52.20724238093255,1
14,66,62,75,45,89,13,43,57.408456944358925,1
86,14,6,12,32,54,14,60,46.68218064601861,1
78,73,79,67,20,5,23,62,77.0534295880894,2
81,19,72,59,12,82,20,79,60.34558910852742,1
20,60,5,92,88,93,16,81,58.425539811319574,1
1,96,6,10,62,31,13,10,40.37799219330346,1
91,96,85,41,69,43,30,0,79.38889442538172,2
29,87,28,99,11,57,2,24,47.99265263814338,1
66,49,86,39,34,65,2,53,48.635619576705295,1
91,56,50,66,62,68,15,85,74.50731174999845,2
3,30,34,16,53,39,2,65,36.42175653060065,1
0,93,27,73,70,86,11,13,53.444461617091555,1
0,48,66,27,67,82,18,72,39.97905691532763,1
15,77,11,57,41,95,13,47,44.11644810069405,1
5,36,40,88,79,58,7,37,40.042013192964774,1
82,74,34,66,26,7,9,77,64.53121445900835,1
61,22,15,47,8,85,19,29,35.71241866762851,1
98,74,35,19,92,8,29,62,70.96573747377333,2
80,4,53,34,2,19,24,18,39.35026733429923,1
97,10,68,85,28,28,17,38,60.15140743450304,1
24,35,8,21,11,18,5,56,27.94117225744274,0
29,48,88,66,23,73,8,62,44.62081824621842,1
85,71,88,48,39,44,14,92,70.15041404692383,2
24,36,69,32,13,22,8,29,38.0590578695976,1
5,1,93,72,47,0,21,90,62.232270627835995,1
67,32,43,36,93,21,11,82,55.9684454985678,1
80,44,82,28,13,69,26,36,55.99504120268867,1
97,54,73,53,93,80,9,14,70.00891147154294,2
93,65,56,76,41,29,15,26,65.44023380976465,2
12,25,18,87,59,7,22,66,58.260446484924046,1
77,61,56,63,44,56,7,79,70.11304298858539,2
85,63,91,66,31,79,23,61,79.19230840436714,2
70,78,99,79,11,7,18,73,78.03059301391318,2
82,52,45,27,59,80,20,10,65.21082349794523,2
84,81,25,25,92,17,14,51,61.31830132341394,1
45,22,75,48,52,26,29,88,71.91446551707364,2
4,71,7,63,60,62,24,39,55.079796931950604,1
46,4,15,65,65,5,6,90,53.01232399816031,1
20,10,56,15,39,30,17,12,26.43977347274973,0
11,87,100,78,12,14,28,98,79.12684821778257,2
12,47,33,36,51,21,9,79,52.23184498198617,1
70,62,44,88,87,78,17,63,66.12584813765676,2
50,60,32,73,31,23,23,62,59.10004230910748,1
54,70,44,99,88,4,9,94,65.08248387061289,2
75,24,0,63,86,21,16,38,51.130002138905056,1
55,18,60,53,24,8,17,16,38.21395083923948,1
63,4,60,18,58,62,6,92,40.1733938721996,1
8,87,31,40,75,98,6,10,62.57186014562796,1
85,22,26,86,49,16,17,66,69.94682104078319,2
45,58,76,38,70,73,6,26,43.263314779796204,1
15,45,18,5,91,36,29,93,52.644429809596424,1
82,16,4,24,63,7,16,98,52.66358652235543,1
74,41,4,60,84,69,22,47,54.92261747977246,1
5,8,89,63,80,21,12,53,50.0398456189513,1
19,17,36,99,82,51,9,45,51.97589324448999,1
1,14,10,94,86,51,15,42,36.37033176282883,1
27,83,88,53,22,60,22,94,59.91202387548311,1
10,57,15,56,1,13,12,28,36.52378031064594,1
71,93,34,80,15,25,9,96,69.9964151678906,2
52,44,2,4,25,74,5,65,25.398623707496384,0
99,20,68,60,69,94,17,97,60.60374316087694,1
75,61,70,47,51,1,21,61,66.97132450197276,2
61,93,76,79,47,41,16,82,83.86690571789963,2
51,53,26,80,0,89,8,49,44.69108537431877,1
5,1,33,66,69,28,8,46,45.686384983813895,1
7,30,94,66,36,45,12,26,41.165076714024636,1
62,93,82,69,76,91,11,21,72.59865880872896,2
0,52,3,58,11,97,7,3,22.92422742537596,0
4,96,69,23,29,66,29,38,57.50776567847866,1
22,51,82,28,5,70,10,99,40.49047270664883,1
89,1,56,74,28,62,8,94,63.544386523962544,1
46,88,64,62,93,28,19,69,66.76632558154395,2
71,77,0,24,49,89,25,36,61.43288143808148,1
41,72,3,88,44,3,14,52,59.499930814653005,1
17,97,3,99,27,5,21,76,69.09454749048146,2
37,19,16,63,26,60,3,0,35.877149418551745,1
9,91,100,23,67,84,16,93,69.54596897099641,2
77,23,64,94,99,82,2,87,63.05983867324164,1
18,98,79,23,75,68,5,98,66.72053733157561,2
38,19,29,43,74,38,18,9,51.374843835807695,1
98,55,94,86,47,36,7,95,72.42624972703507,2
59,79,20,52,9,42,2,61,61.390571067163876,1
46,7,91,24,73,25,6,56,47.10421491581138,1
54,6,3,8,81,42,24,18,30.35063336847846,0
79,85,2,36,51,10,18,49,54.100263692350474,1
25,6,7,67,9,32,12,36,26.710277553550352,0
64,61,79,72,72,95,30,99,66.99833001357703,2
88,94,26,22,93,71,12,34,61.23853318564728,1
57,62,45,16,22,14,27,22,46.53243653686633,1
45,48,47,70,16,28,11,95,48.433518105325476,1
14,42,79,16,74,26,1,18,43.45707116942616,1
25,64,35,6,33,28,4,91,39.387402273263675,1
95,57,0,49,72,69,9,97,56.72523273231344,1
54,50,39,57,71,90,6,31,48.10799638958874,1
30,15,29,24,26,71,5,69,29.79064483989508,0
42,66,73,21,4,49,12,80,49.05932726280197,1
58,74,75,23,56,16,30,54,62.13414947147454,1
54,71,9,34,41,14,7,70,50.23392084424267,1
70,7,80,0,86,82,8,13,37.62594425460246,1
26,70,7,1,36,68,30,52,34.203214661107125,0
65,73,62,37,25,51,7,51,52.03897183895644,1
44,18,39,2,86,58,25,57,46.29602962252533,1
95,85,30,32,74,85,19,95,74.43282955937904,2
15,52,48,58,62,82,28,83,56.77021400557963,1
14,47,31,3,96,8,17,60,49.15063676871586,1
46,72,80,62,79,39,18,40,63.350267018092275,1
51,51,97,62,87,4,7,40,60.426072970840046,1
69,55,82,57,80,38,18,2,62.61247022023791,1
40,31,44,63,40,64,21,55,58.42539681652281,1
92,93,50,81,6,21,30,25,74.52950975922921,2
47,97,45,7,61,15,3,89,56.23780514200536,1
13,13,80,17,77,49,5,78,48.984828007239884,1
12,74,55,32,100,53,1,92,55.40836938877877,1
98,2,47,69,68,72,24,100,76.66839942371597,2
13,37,41,88,57,1,3,40,45.19230125827552,1
95,97,37,92,58,25,28,43,78.2196276244922,2
28,17,55,58,11,78,11,61,35.95182815088875,1
9,38,69,41,0,68,9,43,32.0854944349779,0
30,22,43,41,4,90,30,28,30.0336801419043,0
62,73,81,6,91,82,22,71,81.47184446895062,2
43,46,83,46,79,84,17,45,60.04175940683151,1
79,59,43,51,26,51,27,95,67.5654974420295,2
61,95,91,21,42,96,23,22,59.65872439717848,1
40,52,17,77,48,42,20,44,50.553983691529226,1
64,74,94,82,24,91,10,53,73.00335013430622,2
98,9,29,30,42,39,30,91,43.09494936446143,1
41,21,56,92,35,44,22,58,48.5528131632578,1
15,95,28,10,70,69,29,6,48.18614896635467,1
41,86,44,91,76,40,29,34,83.35628383380588,2
84,66,34,77,9,14,17,89,63.72289816218316,1
21,38,71,22,46,90,11,27,39.436909343645176,1
95,20,8,65,100,45,29,34,61.37637207632856,1
59,86,84,31,87,93,30,15,77.29755047762086,2
60,79,91,80,80,40,4,72,67.5116618907225,2
32,24,56,16,74,98,20,14,42.05577922233665,1
92,59,55,24,0,60,19,37,48.506606421544426,1
3,62,70,31,98,77,23,71,64.38930516351645,1
30,48,20,20,74,76,30,90,46.66430736339811,1
42,93,75,33,89,20,8,22,64.05635841917703,1
48,12,22,60,91,82,30,33,49.5249597345239,1
47,26,68,63,25,95,20,11,38.02538717207753,1
14,9,30,55,1,66,3,44,15.317521922318218,0
22,69,75,19,66,95,16,100,53.59753182882115,1
9,65,79,20,46,85,5,30,41.429586773969994,1
57,99,21,92,2,67,29,26,60.308526654173036,1
35,54,62,25,27,48,23,40,44.839558621833085,1
57,15,50,10,100,86,28,90,41.665215873098575,1
59,45,29,45,36,18,19,55,48.456100477097614,1
70,8,59,0,26,56,12,61,40.091519879750045,1
55,67,100,34,66,82,13,78,69.6610819558205,2
65,68,0,86,67,95,29,72,67.71846837783714,2
59,86,96,27,33,26,5,60,62.641916350084976,1
65,34,86,71,85,9,27,56,67.83043762643507,2
62,31,53,49,58,33,13,53,62.0866320997484,1
31,7,61,35,16,87,18,18,41.78657503908343,1
24,41,37,66,32,52,21,41,47.62894178423584,1
79,48,13,60,85,5,3,85,76.47411501636896,2
34,76,57,32,9,12,5,3,36.92890577078795,1
55,76,82,22,1,34,5,83,45.08352455958628,1
19,14,23,92,66,34,24,57,46.9722574754353,1
43,28,72,17,44,13,3,35,36.74305840955005,1
53,51,75,96,25,49,19,11,73.94239930721778,2
63,33,76,47,47,48,4,77,51.35304523556424,1
53,2,34,100,18,20,24,0,38.862065123175874,1
36,85,39,35,37,23,30,54,54.29924684253537,1
97,73,42,57,23,67,13,16,64.24013267225968,1
51,52,86,62,59,96,7,91,68.53381048985422,2
81,32,90,34,68,100,14,18,50.20713088187834,1
74,85,41,22,92,56,21,81,58.94529530353706,1
56,3,97,52,6,3,22,57,41.6384387317443,1
89,45,57,66,33,90,20,4,65.33746302499725,2
12,80,38,26,26,96,18,72,50.05284730729682,1
93,96,0,77,58,28,19,88,77.62276825334982,2
85,25,61,64,53,40,7,22,63.37299903890635,1
50,65,65,16,88,2,7,97,73.88995763686911,2
74,19,97,94,92,80,28,80,77.7643623882322,2
52,11,72,4,78,78,18,74,44.75456943681001,1
27,35,2,66,20,2,26,33,38.35771990732755,1
80,89,57,44,4,70,19,12,55.00238027508919,1
24,69,75,66,90,41,14,43,56.67205014519928,1
31,49,50,78,95,55,18,81,57.63768174289564,1
52,28,43,69,25,22,21,59,41.23404678656459,1
84,14,81,65,4,82,6,65,54.216022041516666,1
38,27,61,84,68,40,14,78,50.61158666252462,1
49,15,68,70,59,84,22,34,63.589773792236926,1
4,18,46,82,89,14,3,3,37.58773265280357,1
11,69,28,40,58,59,3,89,57.84409944069521,1
5,13,52,20,76,31,5,61,31.629673942807152,0
7,4,96,23,79,97,18,57,31.262879374477134,0
87,54,60,61,0,56,8,57,62.01267338839282,1
85,28,71,53,14,72,14,86,62.85119376579935,1
83,45,12,7,78,8,5,77,43.323693998397935,1
5,14,99,20,18,68,8,67,30.1800864004153,0
7,21,24,97,20,10,1,78,35.01522438063413,1
28,44,98,73,75,36,25,29,64.38683983325369,1
57,69,45,76,20,22,14,71,62.65697488464512,1
33,41,92,19,15,0,6,98,44.82170164530743,1
49,54,90,6,1,59,16,23,29.606651627654884,0
17,52,76,29,47,24,28,57,50.314724109459874,1
73,27,92,86,64,51,25,68,76.25111258132425,2
31,28,61,51,73,77,27,52,52.206602744424515,1
6,42,85,79,91,17,13,97,64.96535623462975,1
75,3,17,49,65,71,11,40,34.47534072981542,0
91,69,7,49,76,30,10,22,54.35969178481429,1
1,62,54,60,21,33,10,13,49.81368863949176,1
44,30,81,96,34,58,28,85,59.87133645918736,1
83,37,77,44,30,63,5,69,57.384938580111374,1
71,33,53,60,6,66,26,58,52.72233132542115,1
86,65,52,92,97,19,28,43,84.8288639787284,2
41,76,61,37,24,58,26,41,51.23586231391229,1
37,10,87,84,45,26,19,94,57.8893358037125,1
71,41,85,54,36,27,26,68,64.76567891896825,1
15,1,11,88,4,95,1,97,26.475998212344827,0
24,45,60,47,91,10,25,80,65.2285926242193,2
60,25,38,63,22,41,16,77,51.99463409673842,1
67,33,80,32,10,44,29,55,65.21623974171952,2
12,46,51,64,34,24,3,24,42.399140176174235,1
51,32,100,32,14,79,28,66,40.76654406688697,1
36,39,43,61,100,49,18,72,67.57811448503207,2
50,77,68,79,19,72,4,52,57.66677615018284,1
96,81,10,43,30,39,16,2,65.63155217762112,2
7,0,94,43,27,90,2,96,43.41554671503185,1
100,38,15,32,2,73,3,83,38.14839569773059,1
45,85,38,73,1,33,16,35,60.13141670322706,1
77,53,84,59,51,97,25,49,62.94626911351266,1
42,20,97,52,23,87,4,12,38.20614495848817,1
31,59,48,2,8,59,8,94,42.27590888612372,1
77,14,48,11,29,1,12,23,42.31800123627906,1
69,2,4,0,27,59,17,38,29.27123497331744,0
14,63,98,85,42,69,1,43,57.14993779147697,1
71,52,1,86,100,36,20,26,79.50054340048729,2
76,76,2,6,30,14,15,64,45.919877560837456,1
39,34,47,4,71,57,29,100,41.65679620980421,1
93,86,0,78,77,80,10,86,63.94180422874405,1
64,42,16,53,5,32,15,53,52.55404638073406,1
33,74,63,31,50,46,3,13,45.74008248091917,1
1,10,71,62,45,0,28,87,51.974344988324546,1
